Genename	HGNC_ID	Uniprot_ID	ENSG	EntrezID	Synonym	Summary
SNAP29	11133	O95721	ENSG00000099940	9342	CEDNIK; SNAP-29	"""This gene, a member of the SNAP25 gene family, encodes a protein involved in multiple membrane trafficking steps. Two other members of this gene family, SNAP23 and SNAP25, encode proteins that bind a syntaxin protein and mediate synaptic vesicle membrane docking and fusion to the plasma membrane. The protein encoded by this gene binds tightly to multiple syntaxins and is localized to intracellular membrane structures rather than to the plasma membrane. While the protein is mostly membrane-bound, a significant fraction of it is found free in the cytoplasm. Use of multiple polyadenylation sites has been noted for this gene. [provided by RefSeq, Jul 2008]"""
SQSTM1	11280	Q13501	ENSG00000161011	8878	p60; p62; A170; DMRV; OSIL; PDB3; ZIP3; p62B; NADGP; FTDALS3	"""This gene encodes a multifunctional protein that binds ubiquitin and regulates activation of the nuclear factor kappa-B (NF-kB) signaling pathway. The protein functions as a scaffolding/adaptor protein in concert with TNF receptor-associated factor 6 to mediate activation of NF-kB in response to upstream signals. Alternatively spliced transcript variants encoding either the same or different isoforms have been identified for this gene. Mutations in this gene result in sporadic and familial Paget disease of bone. [provided by RefSeq, Mar 2009]"""
STX17	11432	P56962	ENSG00000136874	55014	NA	"""NA"""
TAX1BP1	11575	Q86VP1	ENSG00000106052	8887	T6BP; TXBP151; CALCOCO3	"""This gene encodes a HTLV-1 tax1 binding protein. The encoded protein interacts with TNFAIP3, and inhibits TNF-induced apoptosis by mediating the TNFAIP3 anti-apoptotic activity. Degradation of this protein by caspase-3-like family proteins is associated with apoptosis induced by TNF. This protein may also have a role in the inhibition of inflammatory signaling pathways. Alternatively spliced transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, May 2011]"""
TBC1D15	25694	Q8TC07	ENSG00000121749	64786	RAB7-GAP	"""This gene encodes a member of the Ras-like proteins in brain-GTPase activating protein superfamily that share a conserved Tre-2/Bub2/Cdc16 domain. The encoded protein interacts with Ras-like protein in brain 5A and may function as a regulator of intracellular trafficking. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Apr 2009]"""
TBC1D17	25699	Q9HA65	ENSG00000104946	79735	NA	"""NA"""
TBC1D5	19166	Q92609	ENSG00000131374	9779	NA	"""NA"""
TBK1	11584	Q9UHD2	ENSG00000183735	29110	NAK; T2K; IIAE8; FTDALS4	"""The NF-kappa-B (NFKB) complex of proteins is inhibited by I-kappa-B (IKB) proteins, which inactivate NFKB by trapping it in the cytoplasm. Phosphorylation of serine residues on the IKB proteins by IKB kinases marks them for destruction via the ubiquitination pathway, thereby allowing activation and nuclear translocation of the NFKB complex. The protein encoded by this gene is similar to IKB kinases and can mediate NFKB activation in response to certain growth factors. [provided by RefSeq, Oct 2010]"""
TECPR1	22214	Q7Z6L1	ENSG00000205356	25851	NA	"""This gene encodes a tethering factor involved in autophagy. The encoded protein is found at autolysosomes, and is involved in targeting protein aggregates, damaged mitochondria, and bacterial pathogens for autophagy [provided by RefSeq, Nov 2012]"""
TFEB	11753	P19484	ENSG00000112561	7942	TCFEB; BHLHE35; ALPHATFEB	"""NA"""
TIMM23	17312	O14925	ENSG00000265354	100287932	TIM23	"""The protein encoded by this gene is part of a complex located in the inner mitochondrial membrane that mediates the transport of transit peptide-containing proteins across the membrane. Multiple transcript variants, one protein-coding and others not protein-coding, have been found for this gene. [provided by RefSeq, Jul 2012]"""
TOMM20	20947	Q15388	ENSG00000173726	9804	MAS20; MOM19; TOM20	"""NA"""
TP53INP2	16104	Q8IXH6	ENSG00000078804	58476	DOR; PIGU; PINH; PIG-U; C20orf110; dJ1181N3.1	"""The protein encoded by this gene promotes autophagy and is essential for proper autophagosome formation and processing. In addition, the encoded protein can enhance rDNA transcription by helping in the assembly of the POLR1/RNA polymerase I preinitiation complex. Finally, this protein serves as a transcriptional activator for some genes. [provided by RefSeq, Jul 2016]"""
TSC1	12362	Q92574	ENSG00000165699	7248	LAM; TSC	"""This gene is a tumor suppressor gene that encodes the growth inhibitory protein hamartin. The encoded protein interacts with and stabilizes the GTPase activating protein tuberin. This hamartin-tuberin complex negatively regulates mammalian target of rapamycin complex 1 (mTORC1) signalling which is a major regulator of anabolic cell growth. This protein also functions as a co-chaperone for Hsp90 that inhibits its ATPase activity. This protein functions as a facilitator of Hsp90-mediated folding of kinase and non-kinase clients, including Tsc2 and thereby preventing their ubiquitination and proteasomal degradation. Mutations in this gene have been associated with tuberous sclerosis. [provided by RefSeq, Apr 2018]"""
TSC2	12363	P49815	ENSG00000103197	7249	LAM; TSC4; PPP1R160	"""Mutations in this gene lead to tuberous sclerosis complex. Its gene product is believed to be a tumor suppressor and is able to stimulate specific GTPases. The protein associates with hamartin in a cytosolic complex, possibly acting as a chaperone for hamartin. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jul 2008]"""
ULK1	12558	O75385	ENSG00000177169	8408	ATG1; ATG1A; UNC51; hATG1; Unc51.1	"""NA"""
ULK2	13480	Q8IYT8	ENSG00000083290	9706	ATG1B; Unc51.2	"""This gene encodes a protein that is similar to a serine/threonine kinase in C. elegans which is involved in axonal elongation. The structure of this protein is similar to the C. elegans protein in that both proteins have an N-terminal kinase domain, a central proline/serine rich (PS) domain, and a C-terminal (C) domain. The gene is located within the Smith-Magenis syndrome region on chromosome 17. Alternatively spliced transcript variants encoding the same protein have been identified. [provided by RefSeq, Dec 2008]"""
ULK3	19703	Q6PHR2	ENSG00000140474	25989	NA	"""NA"""
USO1	30904	O60763	ENSG00000138768	8615	TAP; VDP; P115	"""The protein encoded by this gene is a peripheral membrane protein which recycles between the cytosol and the Golgi apparatus during interphase. It is regulated by phosphorylation: dephosphorylated protein associates with the Golgi membrane and dissociates from the membrane upon phosphorylation. Ras-associated protein 1 recruits this protein to coat protein complex II (COPII) vesicles during budding from the endoplasmic reticulum, where it interacts with a set of COPII vesicle-associated SNAREs to form a cis-SNARE complex that promotes targeting to the Golgi apparatus. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2014]"""
USP30	20065	Q70CQ3	ENSG00000135093	84749	NA	"""USP30, a member of the ubiquitin-specific protease family (see USP1, MIM 603478), is a novel mitochondrial deubiquitinating (DUB) enzyme (Nakamura and Hirose, 2008 [PubMed 18287522]).[supplied by OMIM, Dec 2008]"""
UVRAG	12640	Q9P2Y5	ENSG00000198382	7405	p63; DHTX; VPS38	"""This gene complements the ultraviolet sensitivity of xeroderma pigmentosum group C cells and encodes a protein with a C2 domain. The protein activates the Beclin1-PI(3)KC3 complex, promoting autophagy and suppressing the proliferation and tumorigenicity of human colon cancer cells. Chromosomal aberrations involving this gene are associated with left-right axis malformation and mutations in this gene have been associated with colon cancer. [provided by RefSeq, Jul 2008]"""
VAMP8	12647	Q9BV40	ENSG00000118640	8673	EDB; VAMP-8	"""This gene encodes an integral membrane protein that belongs to the synaptobrevin/vesicle-associated membrane protein subfamily of soluble N-ethylmaleimide-sensitive factor attachment protein receptors (SNAREs). The encoded protein is involved in the fusion of synaptic vesicles with the presynaptic membrane.[provided by RefSeq, Jun 2010]"""
VDAC1	12669	P21796	ENSG00000213585	7416	PORIN; VDAC-1	"""This gene encodes a voltage-dependent anion channel protein that is a major component of the outer mitochondrial membrane. The encoded protein facilitates the exchange of metabolites and ions across the outer mitochondrial membrane and may regulate mitochondrial functions. This protein also forms channels in the plasma membrane and may be involved in transmembrane electron transport. Alternate splicing results in multiple transcript variants. Multiple pseudogenes of this gene are found on chromosomes 1, 2 3, 6, 9, 12, X and Y.[provided by RefSeq, Sep 2010]"""
VMP1	29559	Q96GC9	ENSG00000062716	81671	EPG3; TANGO5; TMEM49	"""This gene encodes a transmembrane protein that plays a key regulatory role in the process of autophagy. The ectopic overexpression of the encoded protein in cultured cells triggers autophagy even under nutrient-rich conditions. This gene is overexpressed in pancreatitis affected acinar cells where the encoded protein mediates sequestration and degradation of potentially deleterious activated zymogen granules in a process termed, zymophagy. [provided by RefSeq, Jul 2016]"""
WDFY3	20751	Q8IZQ1	ENSG00000163625	23001	ALFY; BCHS; MCPH18; ZFYVE25	"""This gene encodes a phosphatidylinositol 3-phosphate-binding protein that functions as a master conductor for aggregate clearance by autophagy. This protein shuttles from the nuclear membrane to colocalize with aggregated proteins, where it complexes with other autophagic components to achieve macroautophagy-mediated clearance of these aggregated proteins. However, it is not necessary for starvation-induced macroautophagy. [provided by RefSeq, May 2010]"""
WDR45	28912	Q9Y484	ENSG00000196998	11152	JM5; NBIA4; NBIA5; WDRX1; WIPI4; WIPI-4	"""This gene encodes a member of the WD repeat protein family. WD repeats are minimally conserved regions of approximately 40 amino acids typically bracketed by gly-his and trp-asp (GH-WD), which may facilitate formation of heterotrimeric or multiprotein complexes. Members of this family are involved in a variety of cellular processes, including cell cycle progression, signal transduction, apoptosis, and gene regulation. This gene has a pseudogene at chromosome 4q31.3. Multiple alternatively spliced transcript variants encoding distinct isoforms have been found for this gene, but the biological validity and full-length nature of some variants have not been determined. [provided by RefSeq, Jul 2008]"""
WDR45B	25072	Q5MNZ6	ENSG00000141580	56270	WIPI3; WDR45L; WIPI-3	"""This gene encodes a member of the WIPI or SVP1 family of WD40 repeat-containing proteins. The protein contains seven WD40 repeats that are thought to fold into a beta-propeller structure that mediates protein-protein interactions, and a conserved motif for interaction with phospholipids. The human genome contains several pseudogenes of this gene. [provided by RefSeq, Jul 2008]"""
WIPI1	25471	Q5MNZ9	ENSG00000070540	55062	ATG18; ATG18A; WIPI49	"""This gene encodes a WD40 repeat protein. Members of the WD40 repeat family are key components of many essential biologic functions. They regulate the assembly of multiprotein complexes by presenting a beta-propeller platform for simultaneous and reversible protein-protein interactions. Members of the WIPI subfamily of WD40 repeat proteins have a 7-bladed propeller structure and contain a conserved motif for interaction with phospholipids. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Mar 2016]"""
WIPI2	32225	Q9Y4P8	ENSG00000157954	26100	Atg21; ATG18B; CGI-50; WIPI-2	"""WD40 repeat proteins are key components of many essential biologic functions. They regulate the assembly of multiprotein complexes by presenting a beta-propeller platform for simultaneous and reversible protein-protein interactions. Members of the WIPI subfamily of WD40 repeat proteins, such as WIPI2, have a 7-bladed propeller structure and contain a conserved motif for interaction with phospholipids (Proikas-Cezanne et al., 2004 [PubMed 15602573]).[supplied by OMIM, Mar 2008]"""
ZFYVE1	13180	Q9HBF4	ENSG00000165861	53349	SR3; DFCP1; TAFF1; ZNFN2A1; PPP1R172	"""The FYVE domain mediates the recruitment of proteins involved in membrane trafficking and cell signaling to phosphatidylinositol 3-phosphate-containing membranes. This protein contains two zinc-binding FYVE domains in tandem and is reported to localize to the Golgi apparatus. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2013]"""
ZKSCAN3	13853	Q9BRR0	ENSG00000189298	80317	ZF47; Zfp47; ZFP306; ZNF306; ZNF309; zfp-47; ZSCAN13; ZSCAN35; dJ874C20.1; dJ874C20.1.	"""NA"""
APP	620	P05067	ENSG00000142192	351	AAA; AD1; PN2; ABPP; APPI; CVAP; ABETA; PN-II; preA4; CTFgamma	"""This gene encodes a cell surface receptor and transmembrane precursor protein that is cleaved by secretases to form a number of peptides. Some of these peptides are secreted and can bind to the acetyltransferase complex APBB1/TIP60 to promote transcriptional activation, while others form the protein basis of the amyloid plaques found in the brains of patients with Alzheimer disease. In addition, two of the peptides are antimicrobial peptides, having been shown to have bacteriocidal and antifungal activities. Mutations in this gene have been implicated in autosomal dominant Alzheimer disease and cerebroarterial amyloidosis (cerebral amyloid angiopathy). Multiple transcript variants encoding several different isoforms have been found for this gene. [provided by RefSeq, Aug 2014]"""
ATP6AP2	18305	O75787	ENSG00000182220	10159	PRR; M8-9; MRXE; RENR; XMRE; XPDS; HT028; MRXSH; ELDF10; ATP6IP2; MSTP009; APT6M8-9; ATP6M8-9	"""This gene encodes a protein that is associated with adenosine triphosphatases (ATPases). Proton-translocating ATPases have fundamental roles in energy conservation, secondary active transport, acidification of intracellular compartments, and cellular pH homeostasis. There are three classes of ATPases- F, P, and V. The vacuolar (V-type) ATPases have a transmembrane proton-conducting sector and an extramembrane catalytic sector. The encoded protein has been found associated with the transmembrane sector of the V-type ATPases. [provided by RefSeq, Jul 2008]"""
C9orf72	28337	Q96LT7	ENSG00000147894	203228	ALSFTD; FTDALS; DENNL72; FTDALS1	"""The protein encoded by this gene plays an important role in the regulation of endosomal trafficking, and has been shown to interact with Rab proteins that are involved in autophagy and endocytic transport. Expansion of a GGGGCC repeat from 2-22 copies to 700-1600 copies in the intronic sequence between alternate 5' exons in transcripts from this gene is associated with 9p-linked ALS (amyotrophic lateral sclerosis) and FTD (frontotemporal dementia) (PMID: 21944778, 21944779). Studies suggest that hexanucleotide expansions could result in the selective stabilization of repeat-containing pre-mRNA, and the accumulation of insoluble dipeptide repeat protein aggregates that could be pathogenic in FTD-ALS patients (PMID: 23393093). Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jul 2016]"""
CLEC16A	29013	Q2KHT3	ENSG00000038532	23274	Gop-1; KIAA0350	"""This gene encodes a member of the C-type lectin domain containing family. Single nucleotide polymorphisms in introns of this gene have been associated with diabetes mellitus, multiple sclerosis and rheumatoid arthritis. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Aug 2011]"""
CTNS	2518	O60931	ENSG00000040531	1497	PQLC4; SLC66A4; CTNS-LSB	"""This gene encodes a seven-transmembrane domain protein that functions to transport cystine out of lysosomes. Its activity is driven by the H+ electrochemical gradient of the lysosomal membrane. Mutations in this gene cause cystinosis, a lysosomal storage disorder. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2009]"""
ERBB2	3430	P04626	ENSG00000141736	2064	NEU; NGL; HER2; TKR1; CD340; HER-2; MLN 19; HER-2/neu	"""This gene encodes a member of the epidermal growth factor (EGF) receptor family of receptor tyrosine kinases. This protein has no ligand binding domain of its own and therefore cannot bind growth factors. However, it does bind tightly to other ligand-bound EGF receptor family members to form a heterodimer, stabilizing ligand binding and enhancing kinase-mediated activation of downstream signalling pathways, such as those involving mitogen-activated protein kinase and phosphatidylinositol-3 kinase. Allelic variations at amino acid positions 654 and 655 of isoform a (positions 624 and 625 of isoform b) have been reported, with the most common allele, Ile654/Ile655, shown here. Amplification and/or overexpression of this gene has been reported in numerous cancers, including breast and ovarian tumors. Alternative splicing results in several additional transcript variants, some encoding different isoforms and others that have not been fully characterized. [provided by RefSeq, Jul 2008]"""
GBA	4177	P04062	ENSG00000177628	2629	GCB; GBA1; GLUC	"""This gene encodes a lysosomal membrane protein that cleaves the beta-glucosidic linkage of glycosylceramide, an intermediate in glycolipid metabolism. Mutations in this gene cause Gaucher disease, a lysosomal storage disease characterized by an accumulation of glucocerebrosides. A related pseudogene is approximately 12 kb downstream of this gene on chromosome 1. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2010]"""
GPR65	4517	Q8IYL9	ENSG00000140030	8477	TDAG8; hTDAG8	"""NA"""
GRN	4601	P28799	ENSG00000030582	2896	GEP; GP88; PEPI; PGRN; CLN11; PCDGF	"""Granulins are a family of secreted, glycosylated peptides that are cleaved from a single precursor protein with 7.5 repeats of a highly conserved 12-cysteine granulin/epithelin motif. The 88 kDa precursor protein, progranulin, is also called proepithelin and PC cell-derived growth factor. Cleavage of the signal peptide produces mature granulin which can be further cleaved into a variety of active, 6 kDa peptides. These smaller cleavage products are named granulin A, granulin B, granulin C, etc. Epithelins 1 and 2 are synonymous with granulins A and B, respectively. Both the peptides and intact granulin protein regulate cell growth. However, different members of the granulin protein family may act as inhibitors, stimulators, or have dual actions on cell growth. Granulin family members are important in normal development, wound healing, and tumorigenesis. [provided by RefSeq, Jul 2008]"""
HTT	4851	P42858	ENSG00000197386	3064	HD; IT15; LOMARS	"""Huntingtin is a disease gene linked to Huntington's disease, a neurodegenerative disorder characterized by loss of striatal neurons. This is thought to be caused by an expanded, unstable trinucleotide repeat in the huntingtin gene, which translates as a polyglutamine repeat in the protein product. A fairly broad range of trinucleotide repeats (9-35) has been identified in normal controls, and repeat numbers in excess of 40 have been described as pathological. The huntingtin locus is large, spanning 180 kb and consisting of 67 exons. The huntingtin gene is widely expressed and is required for normal development. It is expressed as 2 alternatively polyadenylated forms displaying different relative abundance in various fetal and adult tissues. The larger transcript is approximately 13.7 kb and is expressed predominantly in adult and fetal brain whereas the smaller transcript of approximately 10.3 kb is more widely expressed. The genetic defect leading to Huntington's disease may not necessarily eliminate transcription, but may confer a new property on the mRNA or alter the function of the protein. One candidate is the huntingtin-associated protein-1, highly expressed in brain, which has increased affinity for huntingtin protein with expanded polyglutamine repeats. This gene contains an upstream open reading frame in the 5' UTR that inhibits expression of the huntingtin gene product through translational repression. [provided by RefSeq, Jul 2016]"""
IRGM	29597	A1A4Y4	ENSG00000237693	345611	IFI1; IRGM1; LRG47; LRG-47	"""This gene encodes a member of the p47 immunity-related GTPase family. The encoded protein may play a role in the innate immune response by regulating autophagy formation in response to intracellular pathogens. Polymorphisms that affect the normal expression of this gene are associated with a susceptibility to Crohn's disease and tuberculosis. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Oct 2016]"""
LRRK2	18618	Q5S007	ENSG00000188906	120892	PARK8; RIPK7; ROCO2; AURA17; DARDARIN	"""This gene is a member of the leucine-rich repeat kinase family and encodes a protein with an ankryin repeat region, a leucine-rich repeat (LRR) domain, a kinase domain, a DFG-like motif, a RAS domain, a GTPase domain, a MLK-like domain, and a WD40 domain. The protein is present largely in the cytoplasm but also associates with the mitochondrial outer membrane. Mutations in this gene have been associated with Parkinson disease-8. [provided by RefSeq, Jul 2008]"""
MECP2	6990	P51608	ENSG00000169057	4204	RS; RTS; RTT; PPMX; MRX16; MRX79; MRXSL; AUTSX3; MRXS13	"""DNA methylation is the major modification of eukaryotic genomes and plays an essential role in mammalian development. Human proteins MECP2, MBD1, MBD2, MBD3, and MBD4 comprise a family of nuclear proteins related by the presence in each of a methyl-CpG binding domain (MBD). Each of these proteins, with the exception of MBD3, is capable of binding specifically to methylated DNA. MECP2, MBD1 and MBD2 can also repress transcription from methylated gene promoters. In contrast to other MBD family members, MECP2 is X-linked and subject to X inactivation. MECP2 is dispensible in stem cells, but is essential for embryonic development. MECP2 gene mutations are the cause of most cases of Rett syndrome, a progressive neurologic developmental disorder and one of the most common causes of cognitive disability in females. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Oct 2015]"""
MEFV	6998	O15553	ENSG00000103313	4210	FMF; MEF; TRIM20	"""This gene encodes a protein, also known as pyrin or marenostrin, that is an important modulator of innate immunity. Mutations in this gene are associated with Mediterranean fever, a hereditary periodic fever syndrome. [provided by RefSeq, Jul 2008]"""
MTMR3	7451	Q13615	ENSG00000100330	8897	ZFYVE10; FYVE-DSP1	"""This gene encodes a member of the myotubularin dual specificity protein phosphatase gene family. The encoded protein is structurally similar to myotubularin but in addition contains a FYVE domain and an N-terminal PH-GRAM domain. The protein can self-associate and also form heteromers with another myotubularin related protein. The protein binds to phosphoinositide lipids through the PH-GRAM domain, and can hydrolyze phosphatidylinositol(3)-phosphate and phosphatidylinositol(3,5)-biphosphate in vitro. The encoded protein has been observed to have a perinuclear, possibly membrane-bound, distribution in cells, but it has also been found free in the cytoplasm. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]"""
PEX13	8855	Q92968	ENSG00000162928	5194	ZWS; NALD; PBD11A; PBD11B	"""This gene encodes a peroxisomal membrane protein that binds the type 1 peroxisomal targeting signal receptor via a SH3 domain located in the cytoplasm. Mutations and deficiencies in peroxisomal protein importing and peroxisome assembly lead to peroxisomal biogenesis disorders, an example of which is Zellweger syndrome. [provided by RefSeq, Oct 2008]"""
PSEN1	9508	P49768	ENSG00000080815	5663	AD3; FAD; PS1; PS-1; S182; ACNINV3	"""Alzheimer's disease (AD) patients with an inherited form of the disease carry mutations in the presenilin proteins (PSEN1; PSEN2) or in the amyloid precursor protein (APP). These disease-linked mutations result in increased production of the longer form of amyloid-beta (main component of amyloid deposits found in AD brains). Presenilins are postulated to regulate APP processing through their effects on gamma-secretase, an enzyme that cleaves APP. Also, it is thought that the presenilins are involved in the cleavage of the Notch receptor, such that they either directly regulate gamma-secretase activity or themselves are protease enzymes. Several alternatively spliced transcript variants encoding different isoforms have been identified for this gene, the full-length nature of only some have been determined. [provided by RefSeq, Aug 2008]"""
PTPN2	9650	P17706	ENSG00000175354	5771	PTN2; PTPT; TCPTP; TC-PTP; TCELLPTP	"""The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. Members of the PTP family share a highly conserved catalytic motif, which is essential for the catalytic activity. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle, and oncogenic transformation. Epidermal growth factor receptor and the adaptor protein Shc were reported to be substrates of this PTP, which suggested the roles in growth factor mediated cell signaling. Multiple alternatively spliced transcript variants encoding different isoforms have been found. Two highly related but distinctly processed pseudogenes that localize to chromosomes 1 and 13, respectively, have been reported. [provided by RefSeq, May 2011]"""
RETREG1	25964	Q9H6L5	ENSG00000154153	54463	JK1; JK-1; FAM134B	"""The protein encoded by this gene is a cis-Golgi transmembrane protein that may be necessary for the long-term survival of nociceptive and autonomic ganglion neurons. Mutations in this gene are a cause of hereditary sensory and autonomic neuropathy type IIB (HSAN IIB), and this gene may also play a role in susceptibility to vascular dementia. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Nov 2011]"""
SLC33A1	95	O00400	ENSG00000169359	9197	AT1; AT-1; ACATN; SPG42	"""The protein encoded by this gene is required for the formation of O-acetylated (Ac) gangliosides. The encoded protein is predicted to contain 6 to 10 transmembrane domains, and a leucine zipper motif in transmembrane domain III. Defects in this gene have been reported to cause spastic paraplegia autosomal dominant type 42 (SPG42) in one Chinese family, but not in similar patients of European descent. Two transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, Jul 2010]"""
SMS	11123	P52788	ENSG00000102172	6611	SRS; SpS; MRSR; SPMSY	"""This gene encodes a protein belonging to the spermidine/spermin synthase family and catalyzes the production of spermine from spermidine. Pseudogenes of this gene are located on chromosomes 1, 5, 6 and X. Mutations in this gene cause an X-linked intellectual disability called Snyder-Robinson Syndrome (SRS). Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2017]"""
SMURF1	16807	Q9HCE7	ENSG00000198742	57154	NA	"""This gene encodes a ubiquitin ligase that is specific for receptor-regulated SMAD proteins in the bone morphogenetic protein (BMP) pathway. This protein plays a key roll in the regulation of cell motility, cell signalling, and cell polarity. Alternative splicing results in multiple transcript variants encoding different isoforms.[provided by RefSeq, Dec 2010]"""
SNX14	14977	Q9Y5W7	ENSG00000135317	57231	SCAR20; RGS-PX2	"""This gene encodes a member of the sorting nexin family. Members of this family have a phox (PX) phosphoinositide binding domain and are involved in intracellular trafficking. The encoded protein also contains a regulator of G protein signaling (RGS) domain. Regulator of G protein signaling family members are regulatory molecules that act as GTPase activating proteins for G alpha subunits of heterotrimeric G proteins. Alternate splicing results in transcript variants encoding distinct isoforms. [provided by RefSeq, Jul 2014]"""
SPG11	11226	Q96JI7	ENSG00000104133	80208	ALS5; CMT2X; KIAA1840	"""The protein encoded by this gene is a potential transmembrane protein that is phosphorylated upon DNA damage. Defects in this gene are a cause of spastic paraplegia type 11 (SPG11). Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2009]"""
TCIRG1	11647	Q13488	ENSG00000110719	10312	a3; Stv1; Vph1; Atp6i; OC116; OPTB1; TIRC7; ATP6N1C; ATP6V0A3; OC-116kDa	"""This gene encodes a subunit of a large protein complex known as a vacuolar H+-ATPase (V-ATPase). The protein complex acts as a pump to move protons across the membrane. This movement of protons helps regulate the pH of cells and their surrounding environment. V-ATPase dependent organelle acidification is necessary for such intracellular processes as protein sorting, zymogen activation, and receptor-mediated endocytosis. V-ATPase is comprised of a cytosolic V1 domain and a transmembrane V0 domain. Alternative splicing results in multiple transcript variants. Mutations in this gene are associated with infantile malignant osteopetrosis. [provided by RefSeq, May 2017]"""
TECPR2	19957	O15040	ENSG00000196663	9895	SPG49; KIAA0329	"""The protein encoded by this gene is a member of the tectonin beta-propeller repeat-containing (TECPR) family, and contains both TECPR and tryptophan-aspartic acid repeat (WD repeat) domains. This gene has been implicated in autophagy, as reduced expression levels of this gene have been associated with impaired autophagy. Recessive mutations in this gene have been associated with a hereditary form of spastic paraparesis (HSP). HSP is characterized by progressive spasticity and paralysis of the legs. There is also some evidence linking mutations in this gene with birdshot chorioretinopathy (BSCR), which results in inflammation of the choroid and retina. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Aug 2015]"""
TMEM230	15876	Q96A57	ENSG00000089063	29058	HSPC274; C20orf30; dJ1116H23.2.1	"""This gene encodes a multi-pass transmembrane protein that belongs to the TMEM134/TMEM230 protein family. The encoded protein localizes to secretory and recycling vesicle in the neuron and may be involved in synaptic vesicles trafficking and recycling. Mutations in this gene may be linked to familial Parkinson's disease. [provided by RefSeq, Mar 2017]"""
VPS13D	23595	Q5THJ4	ENSG00000048707	55187	SCAR4	"""This gene encodes a protein belonging to the vacuolar-protein-sorting-13 gene family. In yeast, vacuolar-protein-sorting-13 proteins are involved in trafficking of membrane proteins between the trans-Golgi network and the prevacuolar compartment. While several transcript variants may exist for this gene, the full-length natures of only two have been described to date. These two represent the major variants of this gene and encode distinct isoforms. [provided by RefSeq, Jul 2008]"""
WAS	12731	P42768	ENSG00000015285	7454	THC; IMD2; SCNX; THC1; WASP; WASPA	"""The Wiskott-Aldrich syndrome (WAS) family of proteins share similar domain structure, and are involved in transduction of signals from receptors on the cell surface to the actin cytoskeleton. The presence of a number of different motifs suggests that they are regulated by a number of different stimuli, and interact with multiple proteins. Recent studies have demonstrated that these proteins, directly or indirectly, associate with the small GTPase, Cdc42, known to regulate formation of actin filaments, and the cytoskeletal organizing complex, Arp2/3. Wiskott-Aldrich syndrome is a rare, inherited, X-linked, recessive disease characterized by immune dysregulation and microthrombocytopenia, and is caused by mutations in the WAS gene. The WAS gene product is a cytoplasmic protein, expressed exclusively in hematopoietic cells, which show signalling and cytoskeletal abnormalities in WAS patients. A transcript variant arising as a result of alternative promoter usage, and containing a different 5' UTR sequence, has been described, however, its full-length nature is not known. [provided by RefSeq, Jul 2008]"""
ZFYVE26	20761	Q68DK2	ENSG00000072121	23503	SPG15; FYVE-CENT	"""This gene encodes a protein which contains a FYVE zinc finger binding domain. The presence of this domain is thought to target these proteins to membrane lipids through interaction with phospholipids in the membrane. Mutations in this gene are associated with autosomal recessive spastic paraplegia-15. [provided by RefSeq, Oct 2008]"""
ATG32		P40458		854660	ECM17; YIL146C	"""Mitochondrial outer membrane protein required to initiate mitophagy; recruits the autophagy adaptor protein Atg11p and the ubiquitin-like protein Atg8p to the mitochondrial surface to initiate mitophagy, the selective vacuolar degradation of mitochondria in response to starvation; can promote pexophagy when placed ectopically in the peroxisomal membrane; regulates mitophagy and ethanol production during alcoholic fermentation"""
